age,gender,income,loan_amount,loan_term,credit_score,employment_years,education,married,dependents,existing_loans,property_area,self_employed,target
59,1,42519.0,413706.0,12,623.0,9,1,0,1,3,0,1,0
49,0,98910.0,251957.0,60,334.0,3,0,0,3,3,0,1,0
35,0,138430.0,112715.0,48,781.0,4,1,1,1,3,2,0,1
63,1,89324.0,181398.0,60,779.0,9,0,0,1,1,2,1,1
28,0,23408.0,674379.0,24,364.0,10,1,1,0,2,1,0,0
41,0,77379.0,559052.0,60,307.0,20,2,0,2,1,2,1,0
59,0,43053.0,172632.0,24,600.0,23,0,0,2,2,0,1,1
39,1,158518.0,123186.0,60,642.0,9,3,0,1,0,2,0,1
43,1,149994.0,727250.0,12,730.0,7,2,0,0,1,0,0,1
31,1,116723.0,191094.0,12,723.0,1,3,0,3,1,1,0,1
31,1,69356.0,634604.0,12,631.0,22,2,1,2,0,1,1,1
44,1,28789.0,68380.0,12,737.0,7,1,0,1,2,0,1,1
56,1,115720.0,674486.0,12,473.0,15,0,0,2,3,2,1,0
60,1,84656.0,304500.0,12,826.0,21,2,0,2,0,1,0,1
44,0,62028.0,110326.0,24,325.0,4,1,1,3,3,1,1,0
23,0,82484.0,679282.0,48,705.0,24,0,1,0,3,2,0,1
42,0,50154.0,260971.0,60,531.0,2,0,1,3,0,2,0,0
22,0,20336.0,508933.0,12,832.0,11,2,1,0,2,0,0,0
44,0,121677.0,208484.0,24,849.0,12,0,0,2,3,2,1,0
64,0,85779.0,524410.0,24,804.0,12,2,0,1,0,2,1,1
50,0,37029.0,381705.0,24,478.0,9,0,0,3,1,2,0,0
58,1,77201.0,265314.0,48,431.0,3,3,1,0,1,0,1,0
22,1,50265.0,478716.0,60,754.0,8,1,0,2,1,0,0,1
41,0,120916.0,619518.0,48,647.0,21,3,0,0,0,1,0,1
53,0,64197.0,531872.0,36,839.0,23,2,1,0,1,0,1,1
32,1,143733.0,556998.0,24,705.0,22,3,1,0,3,1,0,1
42,0,89907.0,559984.0,36,375.0,1,2,1,2,1,2,0,0
64,0,146876.0,505757.0,12,791.0,18,0,0,1,1,1,1,1
45,1,82435.0,414484.0,12,493.0,0,0,0,1,3,1,0,0
47,0,58631.0,548062.0,48,461.0,24,2,1,1,1,2,0,0
62,1,147038.0,623609.0,60,646.0,6,3,0,0,3,1,0,1
48,0,38103.0,172028.0,36,660.0,16,0,1,2,1,0,0,1
36,1,82772.0,271447.0,60,386.0,2,1,1,0,3,0,0,0
35,1,144108.0,481124.0,48,561.0,19,0,0,1,1,0,0,1
64,1,32382.0,666045.0,12,513.0,19,1,1,1,3,0,0,0
23,0,102291.0,472659.0,60,561.0,20,3,1,2,0,1,1,1
57,1,119195.0,341207.0,60,582.0,2,1,1,0,3,1,1,1
27,0,152828.0,416369.0,12,766.0,2,1,0,3,1,2,0,1
41,0,38609.0,418544.0,36,679.0,16,1,1,3,1,1,0,0
29,0,93683.0,382962.0,12,661.0,6,1,1,1,2,1,1,0
59,0,142714.0,306847.0,60,748.0,13,0,1,2,3,1,1,1
38,1,148330.0,636387.0,36,740.0,16,1,1,0,0,2,1,1
24,1,89315.0,459065.0,36,392.0,17,0,1,0,3,0,1,0
45,0,95834.0,727220.0,12,723.0,12,1,1,1,3,1,1,0
34,0,144205.0,71585.0,60,441.0,19,2,1,1,0,2,0,1
29,1,32153.0,455231.0,48,590.0,19,3,0,0,3,2,1,1
46,0,94325.0,607873.0,60,731.0,20,1,0,0,0,2,1,1
22,1,73318.0,329102.0,24,348.0,17,2,1,1,0,0,1,0
40,0,149886.0,328161.0,48,601.0,3,1,0,0,3,1,0,1
48,0,133033.0,426821.0,36,489.0,0,1,0,3,3,2,0,0
27,1,94077.0,319922.0,48,435.0,17,1,1,1,1,0,0,0
64,0,108474.0,740601.0,36,703.0,0,2,0,0,1,2,0,0
28,1,151515.0,82229.0,36,640.0,12,3,1,1,2,2,0,1
55,0,91319.0,126652.0,48,617.0,19,2,1,2,2,2,0,1
34,0,143885.0,289474.0,36,662.0,19,3,1,1,3,2,1,1
37,0,127777.0,743724.0,36,681.0,22,1,1,1,0,2,0,0
56,1,35368.0,300116.0,24,532.0,9,0,1,2,2,0,0,0
60,0,109751.0,560985.0,60,643.0,10,1,0,3,3,1,1,1
24,0,45306.0,59975.0,60,848.0,8,3,1,0,2,1,0,1
22,0,55219.0,197795.0,24,828.0,8,2,0,2,0,1,1,1
26,0,78279.0,456495.0,48,482.0,4,1,1,1,3,1,1,0
62,1,71028.0,249373.0,12,340.0,0,2,1,0,0,0,0,0
24,1,122263.0,237133.0,12,696.0,16,2,1,2,3,0,1,1
49,0,18126.0,744513.0,12,793.0,21,2,0,0,2,0,1,1
38,1,70329.0,335286.0,24,632.0,1,1,1,0,1,2,1,1
46,0,45632.0,628612.0,24,426.0,23,2,1,2,2,2,1,0
64,0,127945.0,216037.0,36,300.0,12,2,1,0,2,2,0,0
54,0,73176.0,428076.0,12,467.0,8,1,1,3,1,1,1,0
30,1,152869.0,700008.0,48,318.0,3,2,0,2,1,2,0,0
56,1,52560.0,730493.0,48,631.0,4,1,1,3,3,1,1,0
34,1,94589.0,660347.0,12,755.0,10,3,0,1,3,2,1,1
51,1,40116.0,662605.0,12,408.0,23,3,1,0,0,1,1,0
35,1,150717.0,337190.0,12,567.0,18,3,0,1,0,2,0,1
28,1,142085.0,480280.0,24,744.0,20,2,0,1,2,2,0,0
34,1,135718.0,141459.0,24,539.0,2,0,1,0,1,0,0,1
43,1,37256.0,240422.0,24,600.0,11,0,1,2,0,2,1,1
60,1,118158.0,141520.0,60,402.0,18,2,0,0,2,2,1,1
41,0,137719.0,625560.0,48,549.0,18,0,1,1,1,0,1,0
36,1,86244.0,556123.0,48,752.0,12,1,1,1,3,1,1,1
38,1,74264.0,369793.0,36,819.0,6,0,1,2,2,0,0,1
44,1,75545.0,366818.0,24,452.0,14,2,0,0,3,0,1,1
46,1,57224.0,184832.0,60,473.0,22,2,1,1,0,1,0,1
45,1,115945.0,192999.0,60,642.0,6,1,1,3,0,2,1,1
61,1,31224.0,388619.0,48,730.0,7,3,1,1,1,1,0,0
49,1,58738.0,101367.0,24,623.0,4,2,0,1,2,2,0,0
35,1,81731.0,445804.0,36,719.0,20,1,1,2,3,2,1,1
21,1,157649.0,275806.0,24,784.0,13,0,0,3,1,1,1,1
45,1,26070.0,747593.0,12,711.0,3,0,1,1,0,0,0,0
27,1,144161.0,84738.0,24,383.0,22,1,0,1,0,1,1,1
29,0,26666.0,597685.0,12,412.0,9,1,1,3,2,2,1,0
44,0,75761.0,384333.0,12,631.0,19,2,1,0,3,1,0,1
21,1,54368.0,378511.0,36,677.0,14,0,0,0,2,1,0,0
64,1,155855.0,242332.0,48,340.0,17,1,0,1,3,2,0,0
